"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","122.44","123.56","124.10","122.35","30.50M","-2.20%"
"12/27/2024","125.19","124.37","126.18","122.26","32.92M","0.10%"
"12/26/2024","125.06","125.52","127.30","125.05","25.14M","-0.97%"
"12/24/2024","126.29","127.51","127.51","124.66","24.83M","1.36%"
"12/23/2024","124.60","120.71","126.34","120.47","47.78M","4.52%"
"12/20/2024","119.21","118.00","121.86","117.90","53.59M","0.28%"
"12/19/2024","118.88","122.16","123.38","118.45","46.16M","-2.08%"
"12/18/2024","121.41","125.43","127.75","120.43","49.72M","-2.89%"
"12/17/2024","125.02","124.45","127.08","123.15","43.31M","-1.32%"
"12/16/2024","126.69","126.01","127.76","123.12","42.09M","-0.17%"
"12/13/2024","126.91","131.30","131.30","124.77","67.54M","-2.83%"
"12/12/2024","130.60","130.00","132.32","129.07","34.27M","0.35%"
"12/11/2024","130.15","128.52","131.21","126.22","45.59M","1.89%"
"12/10/2024","127.74","131.56","131.56","127.07","38.91M","-2.39%"
"12/09/2024","130.87","135.71","135.77","130.00","57.06M","-5.57%"
"12/06/2024","138.59","141.48","142.79","137.40","33.58M","-1.96%"
"12/05/2024","141.36","143.68","143.95","140.38","29.58M","-1.83%"
"12/04/2024","143.99","142.96","144.12","141.18","25.94M","1.42%"
"12/03/2024","141.98","142.58","143.45","141.08","22.67M","-0.06%"
"12/02/2024","142.06","137.91","142.82","137.80","33.10M","3.56%"
"11/29/2024","137.18","136.24","138.59","135.78","16.09M","0.69%"
"11/27/2024","136.24","137.20","137.94","132.96","30.18M","-1.07%"
"11/26/2024","137.72","142.55","142.80","136.62","32.09M","-2.42%"
"11/25/2024","141.13","140.49","142.35","139.05","30.92M","2.01%"
"11/22/2024","138.35","137.35","139.13","137.04","21.78M","0.63%"
"11/21/2024","137.49","138.87","140.28","134.93","29.31M","-0.08%"
"11/20/2024","137.60","138.96","140.77","135.48","28.84M","-1.28%"
"11/19/2024","139.39","137.41","139.75","137.14","23.13M","0.33%"
"11/18/2024","138.93","138.18","140.90","137.21","38.78M","2.99%"
"11/15/2024","134.90","136.57","137.35","133.65","44.22M","-2.84%"
"11/14/2024","138.84","140.34","141.40","138.56","31.68M","-0.33%"
"11/13/2024","139.30","142.86","144.49","139.07","35.15M","-3.01%"
"11/12/2024","143.63","147.00","147.45","141.55","33.56M","-2.52%"
"11/11/2024","147.35","147.38","148.57","144.91","29.87M","-0.41%"
"11/08/2024","147.95","149.39","150.71","147.52","27.56M","-1.25%"
"11/07/2024","149.82","146.68","150.12","145.66","30.33M","3.25%"
"11/06/2024","145.10","144.95","145.63","141.52","32.91M","2.43%"
"11/05/2024","141.66","141.94","143.08","140.80","27.07M","0.68%"
"11/04/2024","140.71","141.70","143.64","139.72","29.12M","-0.81%"
"11/01/2024","141.86","144.44","144.54","141.32","39.03M","-1.53%"
"10/31/2024","144.07","147.80","148.68","143.33","44.39M","-3.05%"
"10/30/2024","148.60","153.01","153.12","148.10","87.70M","-10.62%"
"10/29/2024","166.25","161.10","167.51","158.94","71.90M","3.96%"
"10/28/2024","159.92","158.50","160.28","157.04","36.01M","2.36%"
"10/25/2024","156.23","155.40","158.91","155.05","29.76M","1.82%"
"10/24/2024","153.44","154.74","155.19","152.35","22.88M","0.35%"
"10/23/2024","152.91","153.00","153.45","150.52","26.10M","-0.77%"
"10/22/2024","154.09","156.60","156.74","151.91","35.00M","-2.41%"
"10/21/2024","157.90","155.76","158.00","154.15","25.78M","1.24%"
"10/18/2024","155.97","157.41","158.01","155.56","23.82M","-0.18%"
"10/17/2024","156.25","160.00","160.44","156.20","29.49M","0.08%"
"10/16/2024","156.13","158.07","158.28","154.92","30.58M","-0.33%"
"10/15/2024","156.64","163.21","164.13","155.74","50.77M","-5.22%"
"10/14/2024","165.27","167.77","168.90","165.15","31.76M","-1.56%"
"10/11/2024","167.89","164.18","169.35","163.01","42.14M","2.26%"
"10/10/2024","164.18","169.76","172.01","162.00","75.11M","-4.00%"
"10/09/2024","171.02","174.05","174.05","169.55","33.89M","-1.03%"
"10/08/2024","172.80","171.75","173.60","170.00","34.73M","1.07%"
"10/07/2024","170.97","171.08","172.41","168.21","38.38M","0.04%"
"10/04/2024","170.90","166.53","171.21","164.42","44.64M","4.94%"
"10/03/2024","162.85","159.71","166.79","159.40","29.60M","1.92%"
"10/02/2024","159.78","159.31","163.10","158.67","24.63M","0.02%"
"10/01/2024","159.75","164.48","165.40","158.08","31.83M","-2.64%"
"09/30/2024","164.08","163.10","165.08","162.18","21.92M","-0.16%"
"09/27/2024","164.35","167.48","168.73","163.74","27.88M","-1.87%"
"09/26/2024","167.49","167.05","168.68","164.05","38.04M","3.38%"
"09/25/2024","162.02","158.50","162.95","158.18","35.23M","2.34%"
"09/24/2024","158.32","157.46","159.64","154.58","27.53M","1.00%"
"09/23/2024","156.75","156.45","157.19","154.97","21.73M","0.51%"
"09/20/2024","155.95","156.00","157.45","152.47","40.25M","-0.50%"
"09/19/2024","156.74","153.81","159.25","152.77","44.50M","5.70%"
"09/18/2024","148.29","150.90","152.82","148.01","26.32M","-1.68%"
"09/17/2024","150.82","153.55","154.04","149.23","29.89M","-0.83%"
"09/16/2024","152.08","151.70","154.44","150.91","27.68M","-0.15%"
"09/13/2024","152.31","152.32","153.03","150.70","25.12M","1.02%"
"09/12/2024","150.77","148.43","151.54","147.65","29.29M","0.61%"
"09/11/2024","149.86","145.32","150.16","140.71","50.94M","4.91%"
"09/10/2024","142.84","139.06","143.08","137.25","37.22M","3.39%"
"09/09/2024","138.15","136.10","138.45","134.86","27.19M","2.83%"
"09/06/2024","134.35","138.70","139.13","132.11","39.99M","-3.65%"
"09/05/2024","139.44","138.20","141.71","137.83","25.02M","-1.02%"
"09/04/2024","140.87","140.51","143.37","138.51","42.13M","2.87%"
"09/03/2024","136.94","146.41","146.49","136.10","42.17M","-7.82%"
"08/30/2024","148.56","147.52","148.99","145.25","31.17M","2.11%"
"08/29/2024","145.49","146.59","149.49","144.47","31.60M","-0.59%"
"08/28/2024","146.36","149.40","150.43","144.72","34.08M","-2.75%"
"08/27/2024","150.50","150.13","151.70","148.44","35.10M","0.34%"
"08/26/2024","149.99","154.70","158.28","148.91","49.89M","-3.22%"
"08/23/2024","154.98","153.60","156.40","151.83","43.69M","2.16%"
"08/22/2024","151.70","158.87","159.84","151.01","45.74M","-3.87%"
"08/21/2024","157.81","156.12","158.65","155.07","42.79M","0.90%"
"08/20/2024","156.40","156.49","162.04","154.51","76.85M","0.72%"
"08/19/2024","155.28","148.43","155.37","147.72","60.77M","4.52%"
"08/16/2024","148.56","145.70","149.37","145.20","31.12M","0.81%"
"08/15/2024","147.36","143.00","147.96","141.81","43.58M","4.70%"
"08/14/2024","140.75","143.00","143.25","137.64","35.51M","-0.27%"
"08/13/2024","141.13","138.12","141.19","137.52","42.22M","3.19%"
"08/12/2024","136.77","134.44","137.99","133.23","39.72M","1.86%"
"08/09/2024","134.27","134.69","135.50","132.44","40.58M","-1.50%"
"08/08/2024","136.32","131.97","136.48","128.94","49.04M","5.95%"
"08/07/2024","128.67","133.75","136.24","128.37","54.68M","-1.16%"
"08/06/2024","130.18","135.15","136.44","129.10","64.46M","-3.44%"
"08/05/2024","134.82","122.16","139.14","121.82","76.09M","1.75%"
"08/02/2024","132.50","133.50","137.10","131.33","78.56M","-0.03%"
"08/01/2024","132.54","145.00","147.29","130.24","94.73M","-8.26%"
"07/31/2024","144.48","150.73","153.60","140.03","114.31M","4.36%"
"07/30/2024","138.44","139.88","141.70","134.05","68.80M","-0.94%"
"07/29/2024","139.75","141.19","144.59","138.75","47.45M","-0.17%"
"07/26/2024","139.99","140.32","141.29","138.27","49.44M","1.21%"
"07/25/2024","138.32","144.07","144.75","136.81","60.58M","-4.36%"
"07/24/2024","144.63","152.72","153.68","144.53","49.20M","-6.08%"
"07/23/2024","154.00","154.95","157.05","153.80","31.95M","-1.20%"
"07/22/2024","155.87","154.23","156.70","152.54","43.91M","2.83%"
"07/19/2024","151.58","154.86","155.81","150.62","47.51M","-2.69%"
"07/18/2024","155.77","163.41","163.41","153.20","69.42M","-2.30%"
"07/17/2024","159.43","169.80","169.80","159.37","76.95M","-10.21%"
"07/16/2024","177.55","179.69","179.75","174.53","40.63M","-1.27%"
"07/15/2024","179.83","184.45","185.50","178.54","42.20M","-0.98%"
"07/12/2024","181.61","182.01","186.99","179.69","50.83M","-0.18%"
"07/11/2024","181.94","184.07","187.11","177.25","59.23M","-1.10%"
"07/10/2024","183.96","179.99","187.28","177.80","90.25M","3.87%"
"07/09/2024","177.10","177.97","180.41","174.70","43.47M","-0.89%"
"07/08/2024","178.69","174.90","178.95","173.22","60.22M","3.95%"
"07/05/2024","171.90","165.97","174.04","165.68","61.86M","4.88%"
"07/03/2024","163.90","164.20","165.26","162.51","26.98M","-0.25%"
"07/02/2024","164.31","157.04","164.58","156.70","57.84M","4.20%"
"07/01/2024","157.69","161.25","161.51","153.64","50.44M","-2.79%"
"06/28/2024","162.21","160.23","166.45","159.41","56.20M","1.72%"
"06/27/2024","159.47","157.18","160.61","156.81","34.02M","1.23%"
"06/26/2024","157.54","160.60","160.74","156.00","36.97M","-1.69%"
"06/25/2024","160.25","160.73","161.00","156.45","40.98M","0.00%"
"06/24/2024","160.25","159.75","163.40","158.19","45.95M","-0.61%"
"06/21/2024","161.23","161.75","163.20","157.89","61.33M","-0.34%"
"06/20/2024","161.78","155.82","166.82","155.50","93.25M","4.62%"
"06/18/2024","154.63","156.99","157.24","153.34","51.85M","-2.38%"
"06/17/2024","158.40","158.00","159.23","154.13","44.51M","-0.77%"
"06/14/2024","159.63","158.50","161.34","157.61","34.05M","-0.17%"
"06/13/2024","159.90","160.40","162.66","157.31","44.44M","-0.21%"
"06/12/2024","160.24","160.32","162.24","158.62","48.33M","0.81%"
"06/11/2024","158.96","160.50","161.54","156.92","40.50M","-0.86%"
"06/10/2024","160.34","162.48","165.55","159.61","67.58M","-4.49%"
"06/07/2024","167.87","166.59","169.45","165.86","44.80M","0.65%"
"06/06/2024","166.78","165.46","169.51","163.86","47.15M","0.37%"
"06/05/2024","166.17","162.07","167.12","161.38","60.51M","3.86%"
"06/04/2024","159.99","162.84","164.83","158.87","48.16M","-2.18%"
"06/03/2024","163.55","170.82","171.08","160.91","59.16M","-2.01%"
"05/31/2024","166.90","166.65","169.50","160.07","64.33M","0.09%"
"05/30/2024","166.75","167.90","168.75","163.80","46.48M","0.97%"
"05/29/2024","165.14","167.46","168.48","162.91","56.54M","-3.77%"
"05/28/2024","171.61","169.42","174.55","164.96","66.50M","3.16%"
"05/24/2024","166.36","161.41","167.66","160.25","54.87M","3.70%"
"05/23/2024","160.43","170.18","173.14","158.27","91.89M","-3.08%"
"05/22/2024","165.52","167.41","169.81","163.86","47.43M","0.52%"
"05/21/2024","164.66","164.00","165.83","163.10","30.01M","-1.00%"
"05/20/2024","166.33","165.55","168.49","164.47","45.62M","1.13%"
"05/17/2024","164.47","168.43","169.72","162.32","65.94M","1.14%"
"05/16/2024","162.62","160.92","168.06","159.90","76.73M","1.85%"
"05/15/2024","159.67","155.59","159.69","154.70","43.20M","4.25%"
"05/14/2024","153.16","150.43","153.49","148.78","31.94M","1.73%"
"05/13/2024","150.56","151.28","153.33","150.40","27.86M","-0.90%"
"05/10/2024","151.92","154.29","156.37","151.31","37.65M","-0.31%"
"05/09/2024","152.39","153.13","154.09","150.61","33.02M","-0.80%"
"05/08/2024","153.62","153.40","155.33","152.52","28.73M","-0.52%"
"05/07/2024","154.43","156.32","157.70","153.66","37.37M","-0.87%"
"05/06/2024","155.78","153.10","156.65","151.26","44.62M","3.44%"
"05/03/2024","150.60","148.75","150.79","147.24","49.36M","3.04%"
"05/02/2024","146.16","145.51","147.62","141.15","50.03M","1.31%"
"05/01/2024","144.27","148.11","151.37","142.14","89.41M","-8.91%"
"04/30/2024","158.38","160.63","162.29","158.35","60.74M","-1.14%"
"04/29/2024","160.20","159.08","160.77","156.26","43.48M","1.78%"
"04/26/2024","157.40","154.24","158.63","153.43","42.51M","2.37%"
"04/25/2024","153.76","149.15","155.14","146.75","41.47M","1.33%"
"04/24/2024","151.74","156.56","157.66","150.63","43.41M","-0.35%"
"04/23/2024","152.27","151.65","153.49","150.35","46.05M","2.44%"
"04/22/2024","148.64","148.15","149.89","145.63","49.40M","1.36%"
"04/19/2024","146.64","151.59","154.25","145.29","71.62M","-5.44%"
"04/18/2024","155.08","155.51","156.96","152.32","52.67M","0.69%"
"04/17/2024","154.02","163.97","164.45","153.88","75.91M","-5.78%"
"04/16/2024","163.46","162.28","164.88","161.67","55.30M","1.96%"
"04/15/2024","160.32","164.43","164.44","158.76","61.46M","-1.81%"
"04/12/2024","163.28","164.53","165.70","161.82","63.52M","-4.23%"
"04/11/2024","170.50","167.54","170.95","166.55","48.99M","2.01%"
"04/10/2024","167.14","166.71","169.78","164.00","59.60M","-2.13%"
"04/09/2024","170.78","170.21","171.60","167.29","42.93M","0.52%"
"04/08/2024","169.90","168.20","171.66","166.82","44.00M","-0.31%"
"04/05/2024","170.42","168.10","172.69","165.58","66.08M","2.77%"
"04/04/2024","165.83","182.92","183.02","165.65","88.28M","-8.26%"
"04/03/2024","180.77","177.54","182.05","176.70","49.84M","1.16%"
"04/02/2024","178.70","179.47","180.10","174.83","61.60M","-2.53%"
"04/01/2024","183.34","180.10","187.24","179.90","74.30M","1.58%"
"03/28/2024","180.49","179.47","183.40","178.30","57.63M","0.50%"
"03/27/2024","179.59","179.96","181.23","175.40","55.69M","0.97%"
"03/26/2024","177.87","179.54","182.60","176.33","65.32M","-0.43%"
"03/25/2024","178.63","172.90","182.80","172.00","71.94M","-0.57%"
"03/22/2024","179.65","177.21","180.76","175.05","57.90M","0.54%"
"03/21/2024","178.68","185.97","187.69","177.66","75.27M","-0.58%"
"03/20/2024","179.73","182.03","182.68","174.00","81.77M","-0.93%"
"03/19/2024","181.42","183.16","185.61","177.36","83.51M","-4.84%"
"03/18/2024","190.65","193.29","193.50","188.05","59.31M","-0.21%"
"03/15/2024","191.06","184.83","193.80","184.48","95.29M","2.14%"
"03/14/2024","187.06","192.92","196.93","184.03","84.49M","-3.97%"
"03/13/2024","194.79","198.73","198.83","192.70","70.53M","-3.93%"
"03/12/2024","202.76","200.52","202.85","194.27","68.95M","2.20%"
"03/11/2024","198.39","203.01","203.55","196.70","73.10M","-4.34%"
"03/08/2024","207.39","213.41","227.30","205.60","120.82M","-1.89%"
"03/07/2024","211.38","212.52","213.83","208.22","63.87M","0.36%"
"03/06/2024","210.63","210.43","214.81","207.32","86.69M","2.68%"
"03/05/2024","205.13","200.50","205.33","199.15","65.41M","-0.11%"
"03/04/2024","205.36","205.16","211.01","203.50","86.84M","1.34%"
"03/01/2024","202.64","197.91","202.72","195.42","103.82M","5.25%"
"02/29/2024","192.53","179.82","193.00","179.82","105.54M","9.06%"
"02/28/2024","176.54","176.25","176.84","173.59","35.91M","-0.82%"
"02/27/2024","178.00","175.92","178.46","172.49","43.67M","1.13%"
"02/26/2024","176.01","178.78","179.84","174.81","45.44M","-0.29%"
"02/23/2024","176.52","181.86","183.80","174.55","69.21M","-2.94%"
"02/22/2024","181.86","173.20","183.83","172.00","100.68M","10.69%"
"02/21/2024","164.29","162.74","164.90","161.81","48.77M","-0.84%"
"02/20/2024","165.69","171.14","171.81","162.00","66.55M","-4.70%"
"02/16/2024","173.87","177.45","180.33","173.25","53.94M","-1.63%"
"02/15/2024","176.76","179.14","180.50","175.26","51.13M","-1.09%"
"02/14/2024","178.70","173.47","178.74","172.88","57.40M","4.17%"
"02/13/2024","171.54","167.94","173.17","164.30","63.07M","-0.22%"
"02/12/2024","171.91","172.68","177.40","170.67","58.18M","-0.33%"
"02/09/2024","172.48","171.00","175.10","168.66","56.38M","1.85%"
"02/08/2024","169.35","170.33","172.17","168.60","43.39M","-0.93%"
"02/07/2024","170.94","169.47","172.97","168.20","53.67M","1.82%"
"02/06/2024","167.88","173.15","173.88","165.50","68.85M","-3.64%"
"02/05/2024","174.23","179.09","180.01","171.11","76.35M","-1.93%"
"02/02/2024","177.66","173.79","179.00","173.05","82.13M","4.21%"
"02/01/2024","170.48","169.27","171.14","165.86","91.58M","1.66%"
"01/31/2024","167.69","165.74","171.30","162.56","133.16M","-2.54%"
"01/30/2024","172.06","176.13","178.48","169.52","122.27M","-3.24%"
"01/29/2024","177.83","178.77","178.88","174.40","89.38M","0.33%"
"01/26/2024","177.25","175.29","181.23","174.15","107.38M","-1.71%"
"01/25/2024","180.33","183.41","184.92","177.63","127.17M","1.14%"
"01/24/2024","178.29","172.55","180.58","170.56","125.52M","5.86%"
"01/23/2024","168.42","166.50","169.63","164.27","76.83M","0.14%"
"01/22/2024","168.18","174.39","174.72","164.15","122.97M","-3.47%"
"01/19/2024","174.23","165.80","174.25","162.20","140.37M","7.11%"
"01/18/2024","162.67","166.20","168.60","158.22","131.86M","1.56%"
"01/17/2024","160.17","158.45","160.64","154.40","104.08M","0.90%"
"01/16/2024","158.74","150.36","159.71","149.98","112.71M","8.31%"
"01/12/2024","146.56","148.04","148.75","145.00","48.29M","-0.99%"
"01/11/2024","148.02","148.52","150.38","143.69","62.76M","-0.35%"
"01/10/2024","148.54","150.07","150.88","146.65","56.95M","-0.48%"
"01/09/2024","149.26","145.95","149.86","145.08","67.88M","2.11%"
"01/08/2024","146.18","140.36","147.15","140.15","71.76M","5.48%"
"01/05/2024","138.58","136.78","141.01","136.44","69.66M","1.89%"
"01/04/2024","136.01","134.30","137.70","134.00","58.61M","0.51%"
"01/03/2024","135.32","135.71","137.43","133.74","61.99M","-2.35%"
"01/02/2024","138.58","144.28","144.40","137.43","64.90M","-5.99%"
"12/29/2023","147.41","149.50","151.05","147.20","62.08M","-0.91%"
"12/28/2023","148.76","146.80","150.41","145.95","63.80M","1.84%"
"12/27/2023","146.07","144.72","146.25","143.18","49.03M","1.85%"
"12/26/2023","143.41","140.07","143.85","139.92","47.16M","2.73%"
"12/22/2023","139.60","140.48","140.70","138.31","35.40M","-0.22%"
"12/21/2023","139.91","138.14","139.98","137.38","47.18M","3.28%"
"12/20/2023","135.47","139.00","139.58","135.37","54.67M","-3.34%"
"12/19/2023","140.15","138.57","143.47","138.55","63.74M","0.90%"
"12/18/2023","138.90","139.15","139.79","137.65","45.20M","-0.18%"
"12/15/2023","139.15","139.52","140.89","137.25","70.21M","0.83%"
"12/14/2023","138.00","138.89","141.82","135.73","76.12M","-0.14%"
"12/13/2023","138.19","137.97","139.24","136.03","70.65M","0.42%"
"12/12/2023","137.61","132.25","139.89","131.90","111.68M","2.38%"
"12/11/2023","134.41","130.56","135.04","128.25","98.67M","4.26%"
"12/08/2023","128.92","129.54","131.00","126.89","89.34M","0.43%"
"12/07/2023","128.37","120.79","128.68","119.56","118.58M","9.89%"
"12/06/2023","116.82","120.69","122.83","116.38","60.60M","-1.32%"
"12/05/2023","118.38","117.43","118.49","116.45","39.19M","-0.16%"
"12/04/2023","118.57","119.75","119.90","116.37","39.85M","-2.32%"
"12/01/2023","121.39","119.88","121.40","118.64","37.05M","0.19%"
"11/30/2023","121.16","123.61","124.05","119.65","44.49M","-2.17%"
"11/29/2023","123.85","123.98","125.72","123.48","37.88M","1.51%"
"11/28/2023","122.01","121.98","122.54","120.79","32.05M","-0.52%"
"11/27/2023","122.65","122.07","123.89","121.77","32.74M","0.28%"
"11/24/2023","122.31","122.03","123.25","121.54","19.00M","-0.16%"
"11/22/2023","122.51","120.00","124.76","119.95","56.89M","2.81%"
"11/21/2023","119.16","120.54","120.65","117.94","41.06M","-1.95%"
"11/20/2023","121.53","120.70","121.93","120.07","43.17M","0.75%"
"11/17/2023","120.62","119.64","121.49","118.82","38.54M","0.66%"
"11/16/2023","119.83","117.20","120.73","116.41","49.66M","1.55%"
"11/15/2023","118.00","120.54","120.59","116.87","59.56M","-1.57%"
"11/14/2023","119.88","119.70","122.11","119.22","61.02M","2.65%"
"11/13/2023","116.79","118.34","118.68","116.00","46.74M","-1.52%"
"11/10/2023","118.59","114.35","119.70","114.03","75.20M","4.49%"
"11/09/2023","113.49","114.10","115.81","113.06","61.15M","-0.09%"
"11/08/2023","113.59","113.55","115.32","112.88","41.88M","0.12%"
"11/07/2023","113.45","111.86","114.65","111.22","50.55M","1.52%"
"11/06/2023","111.75","112.60","113.08","110.22","49.27M","-0.45%"
"11/03/2023","112.25","109.05","113.39","107.86","65.63M","4.10%"
"11/02/2023","107.83","107.96","109.40","105.91","71.38M","-0.19%"
"11/01/2023","108.04","98.58","108.15","98.50","138.64M","9.69%"
"10/31/2023","98.50","96.24","98.82","94.07","79.55M","2.41%"
"10/30/2023","96.18","96.14","97.04","94.70","43.72M","-0.26%"
"10/27/2023","96.43","95.80","97.35","94.59","52.46M","2.95%"
"10/26/2023","93.67","95.99","97.52","93.11","49.90M","-2.48%"
"10/25/2023","96.06","100.42","101.03","95.23","53.42M","-5.52%"
"10/24/2023","101.67","100.97","101.79","99.38","51.98M","1.66%"
"10/23/2023","100.01","100.81","102.42","99.32","50.82M","-1.77%"
"10/20/2023","101.81","102.28","104.34","101.44","61.32M","-0.58%"
"10/19/2023","102.40","103.81","105.60","101.84","52.73M","0.23%"
"10/18/2023","102.17","103.38","104.78","101.74","50.45M","-2.82%"
"10/17/2023","105.14","103.54","106.29","101.66","49.64M","-1.24%"
"10/16/2023","106.46","105.42","107.48","105.03","42.46M","1.30%"
"10/13/2023","105.09","108.65","108.97","104.75","52.93M","-3.40%"
"10/12/2023","108.79","108.40","111.31","107.51","60.96M","0.44%"
"10/11/2023","108.31","109.14","110.10","106.93","51.09M","-0.64%"
"10/10/2023","109.01","107.49","110.12","106.40","57.11M","1.91%"
"10/09/2023","106.97","106.01","107.31","104.79","39.59M","-0.25%"
"10/06/2023","107.24","102.16","107.87","102.03","64.86M","4.21%"
"10/05/2023","102.91","103.40","103.74","100.27","51.79M","-1.11%"
"10/04/2023","104.07","100.65","104.40","100.34","51.02M","3.99%"
"10/03/2023","100.08","101.80","103.29","99.17","48.12M","-3.09%"
"10/02/2023","103.27","102.21","103.71","101.70","45.12M","0.44%"
"09/29/2023","102.82","104.69","104.94","102.56","56.08M","0.06%"
"09/28/2023","102.76","97.94","104.20","97.76","72.54M","4.78%"
"09/27/2023","98.07","96.82","99.23","96.35","51.26M","2.20%"
"09/26/2023","95.96","96.50","97.83","95.27","42.87M","-1.46%"
"09/25/2023","97.38","95.95","97.45","94.46","43.22M","1.23%"
"09/22/2023","96.20","96.92","98.42","95.61","52.17M","0.09%"
